year,player,goals,country
1958,Just FONTAINE,13,France
1954,Sandor KOCSIS,11,Hungary
1970,Gerd MUELLER,10,Germany
1966,EUSEBIO [Eusebio da Silva Ferreira],9,Portugal
1930,Guillermo STABILE,8,Argentine
1950,ADEMIR,8,Brazil
2002,RONALDO,8,Brazil
1938,LEONIDAS,7,Brazil
1974,Grzegorz LATO,7,Poland
1978,Mario KEMPES,6,Argentine
1982,Paolo ROSSI,6,Italy
1986,Gary LINEKER,6,
1990,Salvatore SCHILLACI,6,
1994,Oleg SALENKO,6,
1994,Hristo STOICHKOV,6,
1998,Davor SUKER,6,
2014,James RODRIGUEZ,6,
1934,Oldrich NEJEDLY,5,
2006,Miroslav KLOSE,5,
2010,Thomas MUELLER,5,
1962,Florian ALBERT,4,
1962,Valentin IVANOV,4,
1962,Drazen JERKOVIC,4,
1962,Leonel SANCHEZ,4,
1962,VAVA,4,
1962,GARRINCHA,4,
