country,goalsscored
Germany,224
Brazil,221
Argentina,131
Italy,128
France,106
Spain,92
Hungary,87
Netherlands,86
Uruguay,80
England,79
Sweden,74
Russia,66
Serbia,64
Mexico,57
Belgium,52
Czech Republic,47
Switzerland,45
Poland,44
Austria,43
Portugal,43
Chile,40
United States,37
South Korea,31
Paraguay,30
Romania,30
Denmark,27
Colombia,26
Scotland,25
Bulgaria,22
Croatia,21
Nigeria,20
Turkey,20
Peru,19
Cameroon,18
Costa Rica,17
Japan,14
Algeria,13
Ghana,13
Northern Ireland,13
Ivory Coast,13
Morocco,12
Australia,11
South Africa,11
Republic of Ireland,10
Ecuador,10
Saudi Arabia,9
Tunisia,8
Iran,7
Norway,7
Senegal,7
North Korea,6
Greece,5
Slovenia,5
East Germany,5
Ukraine,5
Cuba,5
Slovakia,5
New Zealand,4
Wales,4
Bosnia and Herzegovina,4
Honduras,3
Egypt,3
Jamaica,3
Kuwait,2
United Arab Emirates,2
Haiti,2
Bolivia,1
El Salvador,1
Angola,1
Israel,1
Iraq,1
Togo,1
Trinidad and Tobago,0
Canada,0
Dutch East Indies,0
China PR,0
Zaire,0
